CUTh,rama_3,rama_4,rama_7,rama_8,rama_9,rama_10,rama_13,rama_14,rama_17,rama_18,rama_19,rama_7conf2
0,0.4165902,0.949961705,0.233027652,0.675775581,0.648427592,0.36286588,0.004133094,0.408981016,0.942857143,0.155681245,0.000628882,0.857104832
1,0.565812984,0.998525074,0.193081102,0.954000436,0.511875512,0.979029605,0.043050431,0.193347193,0.703488372,0.017857143,0.000656599,1
2,0.356402541,0.181818182,0.263625821,0.56043956,0.553846154,0.913978495,0.18487395,0.440316206,0.913043478,0,0.013377926,0.996714341
3,0.112549801,0.967741935,0.174034036,0.916374562,0.744215938,0.835185185,0.108843537,0.564774656,0.652173913,0.003378378,0,0.98715616
4,0.228454172,1,0.331841302,0.888663968,0.679807692,0.681818182,0.034214619,0.336471551,0.774691358,0.005952381,0.001249108,0.999796541
5,0.309725954,0.960526316,0.216307921,0.490662438,0.598737936,0.260135135,0.05160239,0.420006517,0.971083698,0.125396825,0.002298146,0.999893967
6,0.252821866,0.967032967,0.424653833,0.620821479,0.814974182,0.758846454,0.002030987,0.359611559,0.925515055,0,0.002066116,0.958313633
7,0.339482201,0.129032258,0.230276622,0.738021638,0.826282051,0.691943128,0.023462783,0.670524412,0.992002258,0.011789182,0.059877009,0.999537862
8,0.309096487,0.053333333,0.26363109,0.758106022,0.673288029,0.95004583,0.022205207,0.210947931,0.741050119,0,0.027384325,1
9,0.538301615,0.494949495,0.153395417,0.793593231,0.519934906,0.208728653,0.054623817,0.411536806,0.95179079,0.030272452,0.01826215,0.999529141
10,0.229295927,0.666666667,0.23630272,0.910922587,0.559748428,0.865853659,0.028985507,0.054764513,0.881944444,0.033333333,0.025677603,1
11,0.185153339,1,0.367000912,0.903013699,0.61525974,0.756521739,0.032258065,0.288956127,0.984939759,0,0.001389854,1
12,0.498555377,0.2,0.261677107,0.642508143,0.589487566,0.113809122,0.046686511,0.27464367,0.906965649,0.004243827,0,0.999890098
13,0.656524313,0.997154624,0.246765404,0.722953512,0.667635739,0.564738345,0.00418112,0.129907537,0.887591351,0.023646873,0.005156223,0.861718692
14,0.307145842,1,0.453206505,0.847017544,0.548184069,0.665594855,0.034092323,0.14563591,0.889336016,0.003057065,0.000465333,0.998107804
15,0.311888112,0.5,0.492445267,0.942251462,0.566666667,0.985955056,0.14,0.177897574,0.963963964,0.022222222,0.012368024,1
16,0.394666667,0.916666667,0.465744401,0.776386404,0.570913462,0.666666667,0.162094763,0.322580645,0.772532189,0,0.00495356,0.999341238
17,0.251055842,0.942196532,0.131059021,0.945216252,0.529426861,0.916624365,0.023527086,0.445812266,0.932330827,0.001583531,0.000555556,0.999958141
18,0.44606559,0.746835443,0.246722889,0.874547312,0.601149425,0.488408037,0.131165023,0.225176568,0.89212283,0.367980884,0.00267487,0.999220827
19,0.45288912,0.835820896,0.342241765,0.801425332,0.521767172,0.794378834,0.018313168,0.215839575,0.952457372,0.002881483,0.0000603,0.999947339
20,0.269948392,0.9,0.672355451,0.762886598,0.458923513,0.595652174,0.021526419,0.426487093,0.879581152,0.175675676,0.000729217,0.999705753
21,0.619753086,0.210526316,0.39486427,0.874945151,0.484949179,0.610671937,0.051674641,0.725606963,0.951073986,0.013821138,0.002078282,0.99970653
22,0.667681198,0.946386946,0.196289276,0.789454509,0.670944176,0.519870425,0.003090471,0.190029459,0.936405633,0.024600331,0.090651764,0.983551568
23,0.471481757,0.064516129,0.235794043,0.845214357,0.886945846,0.649899396,0.025935532,0.241880342,0.934450109,0.040816327,0.002255809,0.991710468
24,0.735715498,0.989888238,0.109220254,0.973992111,0.891117479,0.589769308,0.032979639,0.161824295,0.871055495,0.001623377,0.006518905,0.999369501
25,0.405774987,0.473684211,0.360562537,0.519360902,0.551448737,0.63880289,0.017287234,0.121266428,0.981628736,0.00955414,0.003733665,0.99995013
26,0.286027126,0.183206107,0.259282568,0.868006993,0.525337438,0.892588614,0.01696851,0.113035754,0.984882485,0.000301205,0.001888088,0.999606671
27,0.504420294,0.995633188,0.051021654,0.887513751,0.814718615,0.658181818,0.004213327,0.103007878,0.994004796,0,0.001792115,0.781463693
28,0.343595159,0.272727273,0.170171274,0.968149646,0.579721362,0.749094671,0.033268102,0.356245381,0.987783595,0.002293578,0.009003939,0.999915211
29,0.22833155,0.857142857,0.20678659,0.760928962,0.572130415,0.583201268,0.009819675,0.473580643,0.96503126,0.004514673,0.007015162,0.999836468
30,0.266487214,0.882352941,0.422703936,0.9125,0.488372093,0.744186047,0.025531915,0.411483254,0.995747874,0,0.026717557,0.998288648
31,0.68105019,0.993589744,0.362193625,0.10961224,0.574111017,0.742339374,0.00973436,0.134729294,0.927682737,0.003995591,0.001170138,0.999408849
32,0.367176634,0.995495495,0.477725367,0.845882871,0.558782528,0.573806078,0.100308114,0.380033685,0.976505328,0.015102481,0.008923592,0.999737945
33,0.679245283,0.4,0.363738739,0.952714536,0.576781327,0.784313725,0.028225806,0.323076923,0.97826087,0,0,1
34,0.862700229,1,0.410997204,0.723076923,0.706035042,0.666666667,0.014792899,0.010273973,1,0,0,1
35,0.385896772,0.894736842,0.209887389,0.891231286,0.337850615,0.441509434,0.070469799,0.610806306,0.717930029,0.022748815,0.002218935,0.999920134
36,0.477437745,0.09375,0.221770257,0.882196466,0.6812749,0.531147541,0.061958694,0.081185567,0.976808905,0.094488189,0.001315789,0.967675453
37,0.416772554,1,0.618696187,0.89456869,0.885665529,0.204545455,0.116883117,0.448113208,0.988700565,0.242424242,0.008810573,1
38,0.495925798,0.470588235,0.258135314,0.812801285,0.518018018,0.470225873,0.053800592,0.349690804,0.931894674,0.002217295,0.012189616,0.999957793
39,0.800412271,0.192307692,0.515885023,0.873200443,0.512845215,0.630662021,0.107171636,0.550053438,0.876733436,0.001958864,0.006242906,0.999432678
40,0.406802721,1,0.473826715,0.942105263,0.490161002,0.966216216,0.033980583,0.32238193,0.865079365,0.025,0,1
41,0.469380134,0.314285714,0.762395616,0.895746888,0.554707379,0.770114943,0.012931034,0.365327381,0.9,0,0.004975124,0.99986952
42,0.778761062,0.6,0.522518452,0.846153846,0.63179263,0.426829268,0.012195122,0.218444968,0.934001382,0,0.004120879,0.996836873
43,0.536491677,1,0.630269523,0.904051173,0.396572104,0.394736842,0.022082019,0.338461538,0.936339523,0.019230769,0.014851485,0.997926745
44,0.120481928,1,0.666410453,0.846153846,0.239130435,0.92,0.111111111,0.034482759,1,0,0,1
45,0.883495146,1,0.577030812,0.823529412,0.459016393,0.833333333,0.375,0.06,1,0,0,1
46,0.805547445,1,0.40073433,0.827642276,0.545,0.736434109,0.137614679,0.4017991,0.892553191,0.068292683,0.004875887,0.990034094
47,0.358490566,0.928571429,0.665202109,0.872222222,0.544041451,0.842105263,0.007692308,0.125,0.923076923,0,0.006134969,0.999121265
48,0.871195412,0.333333333,0.475862069,0.878331402,0.785953177,0.386363636,0.064516129,0.030744337,0.807017544,0,0.001342282,1
49,0.207943262,0.25,0.48658036,0.926169591,0.571180556,0.740112994,0.071428571,0.119897959,0.734265734,0.024390244,0,0.999684244
50,0.510338759,0,0.451097804,0.728547154,0.571964956,0.758490566,0.072022161,0.540950455,0.91193511,0.006060606,0.021834061,0.999334664
