4,3,3,2,0,3,2,0,0,4,0,2,0,20,2,1,0,2,1,2,0,4,3,2,3,3,0,0,0,2,0,6,5,1,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2
35,4,13,3,1,6,7,4,2,16,1,6,13,80,17,2,3,5,15,30,4,13,33,4,6,9,6,5,1,5,1,38,16,4,1,11,0,0,7,0,0,1,2,1,0,0,0,1,0,1,7
134,8,28,20,16,17,28,19,13,45,7,18,30,206,71,7,9,21,66,83,10,41,95,25,26,23,20,12,17,32,3,88,83,5,2,38,9,2,29,5,4,4,8,3,0,0,4,3,2,6,10
235,19,43,33,38,45,39,27,25,104,22,36,43,276,101,17,31,44,138,126,27,77,118,50,54,50,35,23,41,55,14,117,187,8,3,54,23,3,68,21,8,4,13,8,0,0,12,4,3,16,19
383,32,56,52,66,78,58,54,41,168,54,71,61,319,121,40,45,64,223,172,51,116,143,86,99,90,74,31,56,82,25,131,370,9,5,77,39,5,135,31,9,8,18,13,0,0,19,11,9,22,25
550,54,94,94,113,120,77,103,59,249,75,121,69,356,158,70,68,78,320,218,97,167,175,128,144,140,120,67,91,128,38,138,579,14,9,94,52,6,217,43,10,14,27,17,1,0,22,15,11,35,34
725,77,143,166,161,201,109,247,85,357,94,214,81,387,196,91,99,101,436,284,130,238,216,174,286,191,233,135,133,175,80,144,912,19,10,119,72,8,344,61,15,17,50,18,1,2,32,18,11,44,49
1118,142,254,299,244,372,165,553,148,579,170,378,120,460,262,167,204,178,587,357,206,359,256,323,618,290,522,247,218,253,170,159,1295,37,14,155,125,12,501,82,16,22,88,21,3,13,42,25,15,60,76
2085,368,531,685,470,744,382,1121,273,1180,446,759,195,706,415,353,401,376,1022,512,383,767,353,685,1170,560,1263,554,449,461,419,215,2153,76,36,290,263,22,848,146,22,52,176,40,5,20,86,42,28,120,135
3825,575,1127,1327,880,1325,760,1915,521,2239,1072,1617,321,1217,691,713,764,823,1943,888,761,1754,639,1368,2002,1026,2458,1181,954,913,877,379,3761,137,85,662,557,57,1532,286,41,135,281,79,22,29,146,83,53,221,246
5564,853,1836,2052,1445,1996,1270,2708,859,3797,1997,2638,546,1927,1091,1153,1256,1367,3322,1424,1193,3091,972,2403,2974,1610,3613,1923,1612,1433,1432,599,5997,218,141,1210,914,101,2445,473,72,224,494,148,46,45,246,160,90,391,459
7428,1171,2586,2733,1998,2696,1729,3494,1189,5543,3025,3952,853,2705,1516,1540,1774,2028,4937,2202,1593,4750,1383,3713,3884,2331,4623,2775,2096,2071,1964,790,8596,376,233,1826,1319,161,3535,703,110,371,851,244,83,61,371,303,165,643,769
9070,1447,3372,3383,2751,3445,2151,4226,1638,7173,3830,5396,1109,3399,1926,2055,2405,2605,6650,2873,2101,6348,1815,4995,4933,3108,5503,3564,2610,2661,2426,947,11212,528,301,2446,1703,218,4838,935,179,533,1341,382,120,82,533,404,254,877,1090
10552,1794,4145,4033,3587,4152,2540,4802,2041,8843,4643,6837,1355,3991,2355,2604,2933,3247,8489,3542,2671,7782,2116,6308,6030,3788,6294,4427,3190,3318,2975,1090,14046,644,380,3055,2141,308,6260,1216,252,805,1829,481,163,109,722,534,356,1162,1427
11746,2144,4800,4594,4325,4721,2839,5241,2356,10059,5289,7837,1574,4505,2673,3008,3433,3716,10111,4111,3108,8889,2358,7189,6929,4340,6882,5231,3662,3780,3387,1193,16457,761,441,3474,2504,369,7532,1484,328,1043,2251,571,188,120,956,666,434,1397,1759
12738,2393,5365,5070,4893,5176,3146,5584,2640,11163,5820,8635,1759,4906,2858,3376,3839,4101,11394,4500,3461,9732,2563,7943,7601,4765,7400,6126,4014,4224,3686,1293,18376,844,484,3819,2751,420,8622,1694,383,1255,2709,638,216,153,1170,821,512,1588,2081
13387,2578,5697,5402,5373,5497,3334,5805,2830,11993,6184,9193,1892,5227,2993,3637,4090,4361,12384,4815,3702,10316,2747,8459,8010,5099,7711,6741,4289,4485,3887,1373,19857,924,527,4074,2944,464,9457,1864,460,1449,3080,691,264,184,1363,925,590,1764,2296
13863,2742,5968,5682,5734,5716,3460,5989,2940,12450,6520,9542,2009,5403,3097,3803,4299,4526,13062,4992,3897,10766,2894,8820,8331,5346,7944,7238,4469,4689,4074,1421,20832,995,554,4249,3108,505,9975,2022,503,1624,3376,741,296,202,1497,1021,665,1884,2444
14297,2832,6166,5883,5981,5919,3578,6158,3061,12858,6716,9789,2083,5549,3154,3945,4508,4683,13608,5180,4047,11097,3015,9151,8575,5580,8125,7657,4661,4861,4240,1456,21566,1031,585,4397,3260,520,10399,2142,534,1732,3595,786,325,214,1583,1090,779,1991,2654
14535,2925,6310,5976,6187,6045,3667,6271,3119,13135,6820,10002,2132,5684,3219,4075,4669,4782,13984,5266,4154,11305,3084,9418,8752,5692,8224,7969,4820,4984,4341,1489,22111,1053,601,4473,3366,535,10656,2245,552,1797,3728,827,348,220,1636,1124,897,2041,2728
14723,3020,6424,6089,6331,6143,3762,6354,3185,13396,6925,10188,2168,5805,3274,4183,4743,4894,14309,5360,4246,11512,3146,9611,8915,5820,8349,8271,4906,5049,4416,1517,22477,1069,640,4531,3433,549,10893,2314,566,1848,3811,857,360,222,1705,1168,974,2110,2797
14885,3089,6609,6197,6442,6224,3841,6457,3242,13600,6997,10394,2218,5898,3330,4261,4849,4979,14623,5472,4330,11691,3214,9792,9056,5977,8444,8520,4997,5178,4477,1556,22942,1095,667,4584,3496,561,11107,2391,576,1881,3880,883,368,230,1731,1210,1048,2149,2860
